province_code,count,name
11,1120,Beijing
12,59,Tianjin
13,17,Hebei
14,3,Shanxi
15,4,Inner Mongolia
21,68,Liaoning
22,25,Jilin
23,62,Heilongjiang
31,373,Shanghai
32,281,Jiangsu
33,194,Zhejiang
34,147,Anhui
35,49,Fujian
36,8,Jiangxi
37,105,Shandong
41,11,Henan
42,205,Hubei
43,118,Hunan
44,250,Guangdong
45,26,Guangxi
46,4,Hainan
50,65,Chongqing
51,112,Sichuan
52,8,Guizhou
53,21,Yunnan
54,6,Tibet
61,163,Shaanxi
62,89,Gansu
63,1,Qinghai
64,81,Ningxia
65,6,Xinjiang
71,401,Taiwan
81,473,Hongkong
82,28,Macao
